"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31619","Create an order ZARA COAT 3","chromium","2026-07-13","broken","2026-07-13","","TestFiles\endtoend.spec.js","",""
"","35051","Create an order ADIDAS ORIGINAL","chromium","2026-07-13","passed","2026-07-13","","TestFiles\endtoend.spec.js","",""
